"id","x_name","x_studio_tag_ids","x_studio_periodos","x_studio_descripcin","x_studio_marca","x_studio_ean","x_studio_cdigo_referencia_proveedor","x_studio_proveedor","x_studio_trazabilidad_levantamiento","x_studio_pm_asociado","x_studio_origen","x_studio_eye","x_studio_raee","x_studio_pilas","x_studio_neumticos","x_studio_bateras","x_studio_aceites_y_lubricantes","x_studio_es_mdh","x_studio_stage_id"
"__export__.x_productos_623261_e05a0cef","1289048MDH","","2023","CHALECO INFLABLE DISNEY MICKEY 51 X 46CM","BESTWAY","","V_9000000724","BESTWAY (HONG KONG) INTERNATIONAL","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623260_d4eb4450","1213385MDH","","2023","PLUMA COLGANTE 3X10CM GREEN","SIN MARCA","","V_0900592933","EAGLE GIFTS INTERNATIONAL","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623259_08751bea","1189667MDH","","2023","SABANA KP POLAR C-BORDE CALABAZA","COTIDIANA","","V_9000101416","NINGBO KINGBIRD INDUSTRY & TRADING","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623258_a416d95f","1329495MDH","","2023","PISO FLOT AQUAPRO 8.5MM OAK ROAST 2.36M2","KAINDL","","V_0900592549","KAINDL FLOORING GMBH","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623257_40ed70ac","1350000MDH","","2023","COCKTELERA HH OI23","COTIDIANA","","V_9000106706","TEXVISTA INTERNATIONAL PTE LTD","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623256_72ad7b70","9009964MDH","","2023","TREN 4 PIEZAS 31CM","M+DESIGN","","V_0900597361","*NO USAR GRAND ART ENTERPRISES LIMI","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623255_b6cc6c8c","1082654MDH","","2023","PESEBRE 17CM C/LUZ","M+DESIGN","","V_0900597008","QUANZHOU EHONG ELECTRONIC TECHNOLOG","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623254_6c871010","9008840MDH","","2023","CAMINO MESA ROJO VERDE  33X182CM","M+DESIGN","","V_0900597679","*NO USAR ALLIANCE (HK)ENTERPRISE LI","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623253_6c96e319","1213386MDH","","2023","PLUMA COLGANTE 3X10CM PURPLE","SIN MARCA","","V_0900592933","EAGLE GIFTS INTERNATIONAL","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623252_f022904e","1366577MDH","","2023","HERMETICO VIDRIO CUADRADO 0.45L.","COTIDIANA","","V_9000105866","SHANDONG  HEISHAN GLASS GROUP CO.,L","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623251_571cca61","1307533MDH","","2023","SANTA METAL TRADICIONAL NAV21","COTIDIANA","","V_9000109688","XIAMEN SHARE-WELL INDUSTRIAL&TRADIN","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623250_9ed51c15","1379315MDH","","2023","FREIDORA AIRE 5.5 LTS 5024KL","KLAUBEN","","V_9000110936","GMERIT HOLDINGS (HK) LIMITED","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623249_d2ce09ee","1367127MDH","","2023","AROMATIZANTE C1.-","COTIDIANA","","V_9000101900","DALIAN TALENT GIFT CO., LTD","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623248_688be278","1289050MDH","","2023","PELOTA INFLABLE DISNEY PRINCESAS 51 CM","BESTWAY","","V_9000000724","BESTWAY (HONG KONG) INTERNATIONAL","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623247_f9f8905a","1366625MDH","","2023","JUEGO CUBIERTOS 16PZ REMACHE GUINDA","COTIDIANA","","V_9000108974","NINGBO HOZ TRADING CO.,LTD","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623246_1a45c9fa","1151112MDH","","2023","CASCANUECES 50CM","M+DESIGN","","V_0900597361","*NO USAR GRAND ART ENTERPRISES LIMI","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623245_40bf290b","1254344MDH","","2023","PISCINA POWER FRAME 488X122CM 19.856LTS","PISCINAS SIN MARCA","","V_9000109136","POLYGROUP TRADING LIMITED","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623244_0fdab819","9006249MDH","","2023","ESTACA NAVIDAD 61CM","M+DESIGN","","V_0900597361","*NO USAR GRAND ART ENTERPRISES LIMI","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623243_ec66e4d2","1243679MDH","","2023","LUZ SOLAR 100 PZAS MULTICOLOR FUNCIONES","M+DESIGN","","V_9000108509","UNCLE BILLS ASIA PACIFIC PTY LTD","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623242_c0c051d8","1166360MDH","","2023","SALVAVIDAS MICKEY 55 CM.","SIN MARCA","","V_9000000724","BESTWAY (HONG KONG) INTERNATIONAL","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623241_02756aa1","1279485MDH","","2023","GLOBO DE AGUA 10CM MUSICAL","M+DESIGN","","V_9000102091","GRAND ART ENTERPRISES LIMITED","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623240_c0254fcc","1089467MDH","","2023","VENTILADOR BOX 20"" DCP2000 NEX","NEX","","V_0900596736","CE NORTH AMERICA LLC","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623239_153e9db2","1111013004MDH","","2023","DUENDE MAGICO, COLORITA","M+DESIGN","","V_0001002856","LA ZONA MARKETING GLOBAL LTDA","","","NACIONAL","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623238_7a992a21","1280479MDH","","2023","CINTAS COLECCION METALICA 2 NAV20","M+DESIGN","","V_9000106986","WENZHOU CHUNTIAN RIBBON MANUFACTURI","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623237_ff51c10b","1212534MDH","","2023","SET 36 ESFERAS NAV 6CM GOLD","M+DESIGN","","V_9000106947","TAIZHOU SUNRISE INDUSTRY& TRADE CO.","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623236_40732dc8","1378938MDH","","2023","BOMBITAS DE AGUA CON INFLADOR 500UD.","RADOST","","V_9000109769","NINGBO RAYIING IMP&EXP CO., LTD","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623235_b33c35a6","767732MDH","","2023","LANZA REGADORA 10 FUNCIONES","ROOTS","","V_0900594151","*NO USAR XCELLENT MFG. ASSOCIATES C","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623234_10e5fff7","1255892MDH","","2023","JUEGO PISCINA ROCKER-M 195X119CM","PISCINAS SIN MARCA","","V_9000109136","POLYGROUP TRADING LIMITED","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623233_5a4cfef7","1212760MDH","","2023","PAREJA SANTA C/VIOLIN MUSICAL 30CM","SIN MARCA","","V_9000000220","CHENG KUO ENTERPRISE INC.","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623232_bc86d003","941567MDH","","2023","SET PASADORES..150PCS.KX","SIN MARCA","","V_0900595061","HAFE TRADING LIMITED","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623231_b0479bc5","1307315MDH","","2023","AZUCARERO HOHO NAV21","COTIDIANA","","V_9000000913","GUANGDONG EAGLE GIFTS CO., LTD","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623230_3e7795fb","1184460MDH","","2023","LIMPIAFONDO AUTO AQUADIP","BESTWAY","","V_9000000724","BESTWAY (HONG KONG) INTERNATIONAL","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623229_c287c5af","1366559MDH","","2023","BOL SOLID COLOR GRIS PV24","COTIDIANA","","V_9000108233","UNSA  MADENCILIK TURIZM ENERJI SERA","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623228_1bf3b4be","1243755MDH","","2023","ARBOL NAVIDAD N60 180CM PUNTAS BLANCAS","M+DESIGN","","V_9000000361","GOLDEN ARTS GIFTS AND DECOR","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623227_d2e32673","1219430MDH","","2023","ALFOMBRA SKYE LOOP 160X220 LOOP GREY","COTIDIANA","","V_9000103753","WUHU EASY I/E CO . LTD","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623226_cd691c35","9008315MDH","","2023","CORONA GLITTER ESFERAS GOLD 40CM","M+DESIGN","","V_0900596371","PREMIER CREATIONS FACTORY LIMITED","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
"__export__.x_productos_623225_13ba38b5","169536MDH","","2023","TORTUGA REDONDA CHICA VICERA NEGRA","ABITARE","","V_0900594347","SHANGHAI ELECTRICAL APPARATUS IMP.","","","IMPORTADO","True","","","","","","True","No completado - Nuevo"
