"id","x_name","x_studio_tag_ids","x_studio_periodo","x_studio_descripcion","x_studio_marca","x_studio_ean","x_color","x_studio_proveedor","x_studio_trazabilidad_levantamiento","x_studio_actor_relevante","x_studio_sin_ficha","x_studio_eye","x_studio_raee","x_studio_pilas","x_studio_neumaticos","x_studio_baterias","x_studio_aceites_y_lubricantes","x_studio_textil","x_studio_stage_id"
"__export__.x_productos_11727_cd63d527","274759","COTILLON","2022,2023","BANDERA PLASTICA PZA. 10MTS             ","BIG PARTY","","0","HOMEMASTER","PRONOBEL/HOMEMASTER","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_11789_e096c1ff","448833","OFICINA Y LIBRERIA","2022,2023","LAPIZ GRAFITO 2HB HEXAGONAL RESINA","LAVORO","","0","JINAN MINGQUAN WRITING INSTRUMENTS","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_11815_b0f52de9","497683","OFICINA Y LIBRERIA","2022,2023","PINCEL N12 ESPATULA MANGO DE MADERA","ART & CRAF","3100213686743","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_11819_d9026f95","497684","OFICINA Y LIBRERIA","2022,2023","PINCEL N10 ESPATULA MANGO DE MADERA","ART & CRAF","3100213307105","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_11853_11280c80","449114","OFICINA Y LIBRERIA","2022","LAPIZ GRAFITO 2HB TRIANGULAR JUMBO      ","MURANO","3100004491143","0","JINAN MINGQUAN WRITING INSTRUMENTS","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_11857_af8c6f54","393361","OFICINA Y LIBRERIA","2022","PINCEL RED PELO CAMELLO MANGO MADER Nº10","MURANO","3100853933610","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_11867_c0219f58","371290","OFICINA Y LIBRERIA","","SACAPUNTA PLAST C/DEPOSITO 1 ORIF","FULTONS","","0","","","Paola Mena","True","","","","","","","","Completado"
"__export__.x_productos_11874_0d6c3a57","394590","OFICINA Y LIBRERIA","2022","TIJERA ESCOLAR 5 1/4 PLASTMETAL PT ROMA ","MURANO","3100003945906","0","GANGRONG INDUSTRY TRADING CO LTD","","Paola Mena","","True","","","","","","","Completado"
"__export__.x_productos_11881_ed2c24a8","497682","OFICINA Y LIBRERIA","2022,2023","PINCEL N14 ESPATULA MANGO DE MADERA","ART & CRAF","3100219428002","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_11906_dcf26b48","497679","OFICINA Y LIBRERIA","2022,2023","PINCEL N20 ESPATULA MANGO DE MADERA","ART & CRAF","3100223807190","0","ANHUI UNION ARTS IMP AND EXP CO., LTD.","","Paola Mena","True","True","","","","","","","Completado"
"__export__.x_productos_11909_dd89cd15","444989","COTILLON","2022,2023","GUIRNALDA DIECIOCHERA RECTANGULAR 180 CM","BIG PARTY","","0","WUHAN","PRONOBEL/WUHAN","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_11917_0f340e29","444991","COTILLON","2022,2023","GUIRNALDA CERO GRANDE 200CM BIG PARTY   ","BIG PARTY","","0","WUHAN","PRONOBEL/WUHAN","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_11949_6bfbe816","507867","OFICINA Y LIBRERIA","2022,2023","MARCADOR PIZARRA RECARGABLE PTA RED NEGR","LAVORO","3100209071690","0","NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","PRONOBEL/NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_11993_17887faa","449102","OFICINA Y LIBRERIA","","SACAPUNTA PLAST C/DEPOSITO 2 ORIF Y TAPA","MURANO","3100004491020","0","","","Paola Mena","","","","","","","","","Completado"
"__export__.x_productos_11995_33bc8b92","521900","OFICINA Y LIBRERIA","","BOLSA REG.TODA OCASION DAMA MEDIANA (D) ","NOBEL GIFT","3100005219005","0","","","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_12012_f674b3d8","507868","OFICINA Y LIBRERIA","2022,2023","MARCADOR PIZARRA RECARGABLE PTA RED AZUL","LAVORO","3100219032704","0","NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","PRONOBEL/NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_12016_da71bf96","507869","OFICINA Y LIBRERIA","2022,2023","MARCADOR PIZARRA RECARGABLE PTA RED ROJO","LAVORO","3100224864758","0","NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","PRONOBEL/NINGBO BAILE STATIONERY MANUFACTURE CO., LTD.","Sahira Aguado","True","True","","","","","","","Completado"
"__export__.x_productos_12035_c61a6aa0","490471","COTILLON","2022,2023","GLOBO METALICO FIGURA CORAZON 18IN","BIG PARTY","3100253092924","0","HUNAN FREE","PRONOBEL/HUNAN FREE","Constanza Gaete","True","True","","","","","","","Completado"
"__export__.x_productos_12038_3d861af5","445022","COTILLON","2022,2023","ADORNO DIECIOCHERO COPIHUE CHICO 25CM. B","BIG PARTY","","0","WUHAN","PRONOBEL/WUHAN","Constanza Gaete","","True","","","","","","","Completado"
"__export__.x_productos_12043_6dd69704","449002","OFICINA Y LIBRERIA","2022,2023","LAPIZ GRAFITO 2HB TRIANGULAR JUMBO","LAVORO","","0","JINAN MINGQUAN WRITING INSTRUMENTS","","Paola Mena","True","True","","","","","","","Completado"
