"id","name","tag_id","periodo","descripcion","marca","ean","codigo_ref_proveedor","proveedor","trazabilidad_levantamiento","actor_relevante","origen","eye","raee","pilas","neumaticos","baterias","aceite_y_lubrcante","textil","stage_id"
"__export__.x_productos_399_58fb8e10","20441981","P2021,P2022","2021,2022","PACK 2 BOXER HOMBRE","CHEROKEE","2200204419815","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Kattya Silva","IMPORTADO","True","True","","","","","","Completado"
"__export__.x_productos_404_67751d97","20441996","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER NO","CHEROKEE","2200204419969","1000161368","","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","True","","","","","","Completado"
"__export__.x_productos_443_45ea6d01","20455905","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER HOMBRE","CHEROKEE","2200204559054","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","True","","","","","","Completado"
"__export__.x_productos_445_76dc3b2f","20455907","P2021,P2022","2021,2022","PACK 2 BOXER HOMBRE","CHEROKEE","2200204559078","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_446_ac164517","20455908","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER HOMBRE","CHEROKEE","2200204559085","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_447_317a37ac","20455909","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER HOMBRE","CHEROKEE","2200204559092","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_448_3405a497","20455910","P2021,P2022","2021,2022","PACK 2 BOXER HOMBRE","CHEROKEE","2200204559108","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_449_f2f3426b","20455911","P2021,P2022","2021,2022","PACK 2 BOXER HOMBRE","CHEROKEE","2200204559115","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_450_41dd59a1","20455927","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER TO","CHEROKEE","2200204559276","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_451_671ca528","20455928","P2021,P2022","2021,2022","PACK 2 BOXER TO","CHEROKEE","2200204559283","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_452_0ae6cb7d","20455929","P2021,P2022","2021,2022","PACK 2 BOXER TO","CHEROKEE","2200204559290","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_453_e29f0211","20455930","P2021,P2022","2021,2022","PACK 2 BOXER TO","CHEROKEE","2200204559306","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_454_c4bf3713","20455968","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER (4-8)","CHEROKEE","2200204559689","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_455_0f874d6e","20455969","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER (4-8)","CHEROKEE","2200204559696","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_466_572a90de","20456031","P2021,P2022","2021,2022","PACK 3 CALCETIN HOMBRE","ALLBASICS","2200204560319","66191","KJ SOCKS AND INC.","VESTUARIO/KJ SOCKS AND INC.","Litzi Gordils","IMPORTADO","True","","","","","","True","Completado"
"__export__.x_productos_467_18f75bf4","20456032","P2021,P2022","2021,2022","PACK 3 CALCETIN HOMBRE","ALLBASICS","2200204560326","66191","KJ SOCKS AND INC.","VESTUARIO/KJ SOCKS AND INC.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_471_2faa203d","20456064","P2021,P2022","2021,2022","BIKINI TAME","CHEROKEE","2200204560647","65338","WIDEASIA INTERNATIONAL CORP.","VESTUARIO/WIDEASIA INTERNATIONAL CORP.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_472_98a3c21c","20456065","P2021,P2022,P2023","2021,2022,2023","BIKINI ENCAJE ELVA","CHEROKEE","2200204560654","65338","WIDEASIA INTERNATIONAL CORP.","VESTUARIO/WIDEASIA INTERNATIONAL CORP.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_473_c4095abb","20456066","P2021,P2022,P2023","2021,2022,2023","BIKINI ENCAJE NILO","CHEROKEE","2200204560661","65338","WIDEASIA INTERNATIONAL CORP.","VESTUARIO/WIDEASIA INTERNATIONAL CORP.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_474_0084e53e","20456067","P2021,P2022,P2023","2021,2022,2023","BIKINI ENCAJE ODER","CHEROKEE","2200204560678","65338","WIDEASIA INTERNATIONAL CORP.","VESTUARIO/WIDEASIA INTERNATIONAL CORP.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_475_c14e9fe9","20456071","P2021,P2022","2021,2022","BIKINI RODA","CHEROKEE","2200204560715","65338","WIDEASIA INTERNATIONAL CORP.","VESTUARIO/WIDEASIA INTERNATIONAL CORP.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_476_3235b2db","20456072","P2021,P2022,P2023","2021,2022,2023","BIKINI RODA","CHEROKEE","2200204560722","65338","WIDEASIA INTERNATIONAL CORP.","VESTUARIO/WIDEASIA INTERNATIONAL CORP.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_478_679dcded","20456077","P2021,P2022","2021,2022","PACK 10 CALCETIN SOLIDO DAMA","ALLBASICS","2200204560777","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_481_88312fb2","20456082","P2021,P2022","2021,2022","PACK 3 MEDIA DEPORTIVA LARGA HOMBRE","ALLBASICS","2200204560821","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_484_3f45732c","20456085","P2021,P2022","2021,2022","PACK 5 CALCETIN DAMA","ALLBASICS","2200204560852","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_485_884a9d33","20456086","P2021,P2022","2021,2022","PACK 5 CALCETIN DAMA","ALLBASICS","2200204560869","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_486_9a302b80","20456087","P2021,P2022","2021,2022","PACK 5 CALCETIN DAMA","ALLBASICS","2200204560876","41912","WUXI GLORY TRADINGCO.,LTD","VESTUARIO/WUXI GLORY TRADINGCO.,LTD","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
