"id","name"
"__export__.levantamiento_rep_marca_1_8e2e03c3","marca 1"
"__export__.levantamiento_rep_marca_2_7f7c37e5","marca2"
"__export__.levantamiento_rep_marca_3_f7fe7b86","CHEROKEE"
"__export__.levantamiento_rep_marca_10_87286340","ALLBASICS"
"__export__.levantamiento_rep_marca_11_708c3fae","DISNEY"
"__export__.levantamiento_rep_marca_12_25e82c24","MARVEL"
"__export__.levantamiento_rep_marca_13_5ea01e0f","HOMPOWER MAISON"
"__export__.levantamiento_rep_marca_14_f85e5143","OFISCOOL"
"__export__.levantamiento_rep_marca_15_a3cb96cb","OFISCOOL GIRLS"
"__export__.levantamiento_rep_marca_288_277a7815","DORSAY"
"__export__.levantamiento_rep_marca_289_e5de5105","JVC"
"__export__.levantamiento_rep_marca_290_107668ed","RECCO"
"__export__.levantamiento_rep_marca_291_9b5427fb","WURDEN"
"__export__.levantamiento_rep_marca_292_a5188683","CARBONELL"
"__export__.levantamiento_rep_marca_293_551bb1c3","DELAVIUDA"
"__export__.levantamiento_rep_marca_294_b152e269","PLANTERS"
"__export__.levantamiento_rep_marca_295_72868bf7","TOTTUS"
"__export__.levantamiento_rep_marca_296_decf963b","PRECIO UNO"
"__export__.levantamiento_rep_marca_297_a7fd90b4","KRAFT"
"__export__.levantamiento_rep_marca_298_a53cb5f5","WEIDMANN"
"__export__.levantamiento_rep_marca_299_8b0a46b2","BREDA ROYAL"
"__export__.levantamiento_rep_marca_300_a2c5ac64","OETTINGER"
"__export__.levantamiento_rep_marca_301_f5a82041","TOTTUS PREMIUM"
"__export__.levantamiento_rep_marca_302_68ee49b4","THAI PRIDE"
"__export__.levantamiento_rep_marca_303_1dae1b18","SANTORINI"
"__export__.levantamiento_rep_marca_304_0c55c283","LORETO"
"__export__.levantamiento_rep_marca_305_3c7526a0","MAMMINGER"
"__export__.levantamiento_rep_marca_306_2417e145","ZUEGG"
"__export__.levantamiento_rep_marca_307_522e39a3","SAVIA"
"__export__.levantamiento_rep_marca_308_fb68ce23","WYCHWOOD"
"__export__.levantamiento_rep_marca_309_5681776c","MARSTONS"
"__export__.levantamiento_rep_marca_310_bac37d48","ATLAS"
"__export__.levantamiento_rep_marca_311_af0b3a6b","TRIO EXTRA STOUT"
"__export__.levantamiento_rep_marca_312_146cd837","YOUNGS"
"__export__.levantamiento_rep_marca_313_12c57d00","CHARLES WELLS"
"__export__.levantamiento_rep_marca_314_3b484ce6","SAN TORINI"
"__export__.levantamiento_rep_marca_315_d8fc3602","TOSCANI"
"__export__.levantamiento_rep_marca_316_6ce08597","ARLUY"
"__export__.levantamiento_rep_marca_317_9eb94096","SORINI"
"__export__.levantamiento_rep_marca_318_68317d9e","THAI COCO"
"__export__.levantamiento_rep_marca_319_9719ae5c","CAMPO TIERRA"
"__export__.levantamiento_rep_marca_320_14afa53b","DELVERDE"
"__export__.levantamiento_rep_marca_321_b7bb133e","FARCHIONI"
"__export__.levantamiento_rep_marca_322_2c0a8b52","HOFJAGER"
"__export__.levantamiento_rep_marca_323_8cfbd607","DENNINGHOFFS"
"__export__.levantamiento_rep_marca_324_4c7233aa","MBU"
"__export__.levantamiento_rep_marca_325_4d5a25ae","CREMICA"
"__export__.levantamiento_rep_marca_326_d1005301","MONASTERE"
"__export__.levantamiento_rep_marca_327_d47d45a8","LIBEERT"
"__export__.levantamiento_rep_marca_328_083c8a2a","POMI"
"__export__.levantamiento_rep_marca_329_b2da2d09","FRATELLI BERETTA"
"__export__.levantamiento_rep_marca_330_bf669c70","NOBLE"
"__export__.levantamiento_rep_marca_331_93c10f83","EAGLE"
"__export__.levantamiento_rep_marca_332_b28cf192","DUCALES"
"__export__.levantamiento_rep_marca_333_42620344","SALTIN NOEL"
"__export__.levantamiento_rep_marca_334_8573bc95","TORRONS VICENS"
"__export__.levantamiento_rep_marca_335_08ca090e","DANTZA"
"__export__.levantamiento_rep_marca_336_2cd2e24e","MI&CU"
"__export__.levantamiento_rep_marca_337_3c70223a","TRIAS"
"__export__.levantamiento_rep_marca_338_c3d2d709","MUST ESPRESSO ITALIANO"
"__export__.levantamiento_rep_marca_339_19aeab2e","HEINZ"
"__export__.levantamiento_rep_marca_340_4616237f","MURANA"
"__export__.levantamiento_rep_marca_341_36c1f8fd","MONASTERE ABBEY"
"__export__.levantamiento_rep_marca_342_ffce968e","TOTTUS LIFE"
"__export__.levantamiento_rep_marca_343_2f3d97ee","CASA JOVEN"
"__export__.levantamiento_rep_marca_344_6352dd76","GUOKAI"
"__export__.levantamiento_rep_marca_345_1bf8f348","CASA JOVEN COLLECTION"
"__export__.levantamiento_rep_marca_346_b3ce3239","HONG DA"
"__export__.levantamiento_rep_marca_347_75970ee4","RUI FENG"
