"id","name","familia_de_partes","producto","descripcion","indice_reciclabilidad","peso_informado","categoria_elemento","tipo_de_parte","es_domiciliario","caracteristicas_reciclable","caracteristicas_retornable","peligrosidad","maetrial","composicion_material","caracteristicas_compostable","caracteristicas_material","producto_por_envase","proporcion_por_envase","tipo_raee","tipo_de_pila","cantidad_pilas","tipo_bateria","name_bateria","tipo_aceite_lubricante","volumen","tipo_neumatico","cantidad_neumatico","material_textil",ratio_textil
"__export__.x_materialidad_4117_f4cfd0d8","ADHESIVE TAPE","CINTA ADHESIVA- PEGAMENTOS-TAPE","20456031","PACK 3 CALCETIN HOMBRE","0","30","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","24","0.0425531914893617",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_4115_6084ee55","polybag","BOLSAS","20456031","PACK 3 CALCETIN HOMBRE","0","26","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PEBD que NO contienen sustancias con grasa (4)",,"no aplica","flexible","24","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_4116_8fdbc587","BOX","CAJA","20456031","PACK 3 CALCETIN HOMBRE","0","675","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","24","0.957446808510638",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_4114_fec5ddb0","HOOK","PERCHAS-GANCHOS","20456031","PACK 3 CALCETIN HOMBRE","0","0.5","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","rigido","1","0.0328947368421053",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_4113_c478aea8","CARD","TARJETA -CARD","20456031","PACK 3 CALCETIN HOMBRE","0","14.7","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.967105263157895",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3961_595a2d0a","Blister box","CUALQUIER TIPO DE BLISTERS - VENTANAS","20460504","BABY SOFT PANTUFLA","0","22","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","rigido","1","0.423076923076923",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3960_7be732fc","Inside cardboard","TARJETA -CARD","20460504","BABY SOFT PANTUFLA","0","20","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.384615384615385",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3965_a076938c","Box","CAJA","20460504","BABY SOFT PANTUFLA","0","535","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","12","0.930434782608696",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3964_d18a9d4c","PDQ Box","CAJA","20460504","BABY SOFT PANTUFLA","0","1520","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","12","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_4613_023e89ae","ADHESIVE TAPE","CINTA ADHESIVA- PEGAMENTOS-TAPE","20460504","BABY SOFT PANTUFLA","0","40","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","12","0.0695652173913043",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_3962_bfa5caa0","Paper Inside","ENVOLTURAS-PROTECCIÓN-SOPORTE-RELLENO-SLEEVER-TERMOCONTRAIBLE","20460504","BABY SOFT PANTUFLA","0","10","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Papel",,"no aplica","rigido","1","0.192307692307692",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1614_798a9d8d","BOX","CAJA","20406796","(D)CAJA DE HERRAMIENTAS 8PZS","0","650","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","48","0.955882352941176",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1613_10e42db0","COLOR PDQ","CAJA","20406796","(D)CAJA DE HERRAMIENTAS 8PZS","0","300","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","40","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1612_9daef1e9","SHRINK LABEL","ETIQUETA","20406796","(D)CAJA DE HERRAMIENTAS 8PZS","0","3","EYE Domiciliario","PRIMARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","cartulina","1","0.00826446280991736",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1615_37859250","adhesive tape","CINTA ADHESIVA- PEGAMENTOS-TAPE","20406796","(D)CAJA DE HERRAMIENTAS 8PZS","0","30","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Envases de PP que NO contienen sustancias con grasa (5)",,"no aplica","flexible","48","0.0441176470588235",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1859_05bb4b9e","PDQ","CAJA","20432986","PR SET 4 CINTAS ADHES TRANSPARENTES 1.8CM OFISCOOL","0","5750","EYE NO Domiciliario","SECUNDARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","575","1",,,"0",,,,"0",,"0",,0
"__export__.x_materialidad_1860_a5aaa7cd","BOX","CAJA","20432986","PR SET 4 CINTAS ADHES TRANSPARENTES 1.8CM OFISCOOL","0","270","EYE NO Domiciliario","TERCIARIO","0","sin material reciclado","no retornable","residuo NO peligroso","Cartón",,"no aplica","corrugado","575","0.9",,,"0",,,,"0",,"0",,0
