"id","name","tag_id","periodo","descripcion","marca","ean","codigo_ref_proveedor","proveedor","trazabilidad_levantamiento","actor_relevante","origen","eye","raee","pilas","neumaticos","baterias","aceite_y_lubrcante","textil","stage_id"
"__export__.x_productos_404_67751d97","20441996","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER NO","CHEROKEE","2200204419969","1000161368","","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","True","","","","","","Completado"
"__export__.x_productos_443_45ea6d01","20455905","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER HOMBRE","CHEROKEE","2200204559054","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","True","","","","","","Completado"
"__export__.x_productos_446_ac164517","20455908","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER HOMBRE","CHEROKEE","2200204559085","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_447_317a37ac","20455909","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER HOMBRE","CHEROKEE","2200204559092","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_450_41dd59a1","20455927","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER TO","CHEROKEE","2200204559276","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_454_c4bf3713","20455968","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER (4-8)","CHEROKEE","2200204559689","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_455_0f874d6e","20455969","P2021,P2022,P2023","2021,2022,2023","PACK 2 BOXER (4-8)","CHEROKEE","2200204559696","1000161368","AMIGO FASHION CO., LIMITED","VESTUARIO/AMIGO FASHION CO., LIMITED","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_472_98a3c21c","20456065","P2021,P2022,P2023","2021,2022,2023","BIKINI ENCAJE ELVA","CHEROKEE","2200204560654","65338","WIDEASIA INTERNATIONAL CORP.","VESTUARIO/WIDEASIA INTERNATIONAL CORP.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_473_c4095abb","20456066","P2021,P2022,P2023","2021,2022,2023","BIKINI ENCAJE NILO","CHEROKEE","2200204560661","65338","WIDEASIA INTERNATIONAL CORP.","VESTUARIO/WIDEASIA INTERNATIONAL CORP.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_474_0084e53e","20456067","P2021,P2022,P2023","2021,2022,2023","BIKINI ENCAJE ODER","CHEROKEE","2200204560678","65338","WIDEASIA INTERNATIONAL CORP.","VESTUARIO/WIDEASIA INTERNATIONAL CORP.","Litzi Gordils","IMPORTADO","True","","","","","","","Completado"
