"id","name"
"__export__.res_partner_634_b5c3769e","ALIMENTOS Y FRUTOS SA"
"__export__.res_partner_624_9c27f431","COMERCIAL E INDUSTRIAL LIBESA LIMITADA"
"__export__.res_partner_626_974beed6","CUORI ELECTRICAL APPLIANCES(GROUP).,LTD"
"__export__.res_partner_628_ff914674","DELAVIUDA ALIMENTACION. S.A.U."
"__export__.res_partner_627_525b2b98","DEOLEO S.A"
"__export__.res_partner_57_866a7588","GOLDEN MUTUAL (G.Z.) LTD"
"__export__.res_partner_625_cae485bf","GRUPO KAYVE S.A."
"__export__.res_partner_633_43129694","IANSA ALIMENTOS S.A."
"__export__.res_partner_53_72f08ea8","KJ SOCKS AND INC."
"__export__.res_partner_629_8395fef3","KRAFT FOODS GROUP EXPORTS LLC"
"__export__.res_partner_631_44024fe2","MOLINO LINDEROS S.A."
"__export__.res_partner_632_f231edb8","PESQUERA TRANS ANTARTIC LTDA."
"__export__.res_partner_59_b4615f73","REDFIELD GROUP CO. LTD."
"__export__.res_partner_630_b317d0ba","SURLAT COMERCIAL S.A."
